original_id,mapped_id,text,type,answer,analysis,difficulty,hint,title
102,97,"Consider a database that stores names, addresses and unique IDs of employees in a fitness centre. The employees are classified into three categories: trainers, administrators and technicians. Each trainer has one or more specialities, e.g., weight gain, weight loss, strength building, etc. An administrator can register new members and be reached through a landline phone number. Each member is identified by an email address. The fitness centre organises fitness classes for members. Each class has a name, a start date, an end date, and a daily time slot. No two fitness classes have the same daily time slot, and for each fitness class the start date must be before the end date. A member may choose to participate in one or more fitness classes and may also choose one of the trainers as their personal trainer. Each fitness class is attended by one or more members and instructed by only one trainer. Not all trainers deliver fitness classes. After receiving the approval from an administrator, a member may choose to add multiple associate members who will have partial access to the services provided by the fitness centre, and an associate number (i.e., 1, 2, . . .) and the name of each associate member are recorded in the database. The database keeps track of equipment available in the fitness centre. Each piece of equipment has a unique ID and must have one of the following three status types: new, working or broken. Each technician has a mobile phone number. Technicians maintain equipment in the fitness centre and the database records the date of each maintenance event. Each piece of equipment should be maintained at least twice a year. Suppose that ""participate"" is a relationship type between two entity types ""member"" and ""fitness class"". What is the participation constraint on ""fitness class"" in ""participate""?",choice,Total,nan,1,nan,Q4-12
103,98,"Consider a database that stores names, addresses and unique IDs of employees in a fitness centre. The employees are classified into three categories: trainers, administrators and technicians. Each trainer has one or more specialities, e.g., weight gain, weight loss, strength building, etc. An administrator can register new members and be reached through a landline phone number. Each member is identified by an email address. The fitness centre organises fitness classes for members. Each class has a name, a start date, an end date, and a daily time slot. No two fitness classes have the same daily time slot, and for each fitness class the start date must be before the end date. A member may choose to participate in one or more fitness classes and may also choose one of the trainers as their personal trainer. Each fitness class is attended by one or more members and instructed by only one trainer. Not all trainers deliver fitness classes. After receiving the approval from an administrator, a member may choose to add multiple associate members who will have partial access to the services provided by the fitness centre, and an associate number (i.e., 1, 2, . . .) and the name of each associate member are recorded in the database. The database keeps track of equipment available in the fitness centre. Each piece of equipment has a unique ID and must have one of the following three status types: new, working or broken. Each technician has a mobile phone number. Technicians maintain equipment in the fitness centre and the database records the date of each maintenance event. Each piece of equipment should be maintained at least twice a year. What is the cardinality ratio of the relationship between ""trainer"" and ""fitness class""?",choice,1: N,nan,1,The cardinality ratio specifies the maximum number of relationships that an entity can participate in.,Q4-13
104,99,"Consider a database that stores names, addresses and unique IDs of employees in a fitness centre. The employees are classified into three categories: trainers, administrators and technicians. Each trainer has one or more specialities, e.g., weight gain, weight loss, strength building, etc. An administrator can register new members and be reached through a landline phone number. Each member is identified by an email address. The fitness centre organises fitness classes for members. Each class has a name, a start date, an end date, and a daily time slot. No two fitness classes have the same daily time slot, and for each fitness class the start date must be before the end date. A member may choose to participate in one or more fitness classes and may also choose one of the trainers as their personal trainer. Each fitness class is attended by one or more members and instructed by only one trainer. Not all trainers deliver fitness classes. After receiving the approval from an administrator, a member may choose to add multiple associate members who will have partial access to the services provided by the fitness centre, and an associate number (i.e., 1, 2, . . .) and the name of each associate member are recorded in the database. The database keeps track of equipment available in the fitness centre. Each piece of equipment has a unique ID and must have one of the following three status types: new, working or broken. Each technician has a mobile phone number. Technicians maintain equipment in the fitness centre and the database records the date of each maintenance event. Each piece of equipment should be maintained at least twice a year. Suppose that ""instruct"" is a relationship type between two entity types ""trainer"" and ""fitness class"". What is the participation constraint on ""trainer"" in ""instruct""?",choice,Partial,nan,1,The participation constraint specifies whether the existence of any entity depends on its being related to another entity via the relationship type.,Q4-14
105,100,"Consider a database that stores names, addresses and unique IDs of employees in a fitness centre. The employees are classified into three categories: trainers, administrators and technicians. Each trainer has one or more specialities, e.g., weight gain, weight loss, strength building, etc. An administrator can register new members and be reached through a landline phone number. Each member is identified by an email address. The fitness centre organises fitness classes for members. Each class has a name, a start date, an end date, and a daily time slot. No two fitness classes have the same daily time slot, and for each fitness class the start date must be before the end date. A member may choose to participate in one or more fitness classes and may also choose one of the trainers as their personal trainer. Each fitness class is attended by one or more members and instructed by only one trainer. Not all trainers deliver fitness classes. After receiving the approval from an administrator, a member may choose to add multiple associate members who will have partial access to the services provided by the fitness centre, and an associate number (i.e., 1, 2, . . .) and the name of each associate member are recorded in the database. The database keeps track of equipment available in the fitness centre. Each piece of equipment has a unique ID and must have one of the following three status types: new, working or broken. Each technician has a mobile phone number. Technicians maintain equipment in the fitness centre and the database records the date of each maintenance event. Each piece of equipment should be maintained at least twice a year. Suppose that ""instruct"" is a relationship type between two entity types ""trainer"" and ""fitness class"". What is the participation constraint on ""fitness class"" in ""instruct""?",choice,Total,nan,1,nan,Q4-15
106,101,"Consider a database that stores names, addresses and unique IDs of employees in a fitness centre. The employees are classified into three categories: trainers, administrators and technicians. Each trainer has one or more specialities, e.g., weight gain, weight loss, strength building, etc. An administrator can register new members and be reached through a landline phone number. Each member is identified by an email address. The fitness centre organises fitness classes for members. Each class has a name, a start date, an end date, and a daily time slot. No two fitness classes have the same daily time slot, and for each fitness class the start date must be before the end date. A member may choose to participate in one or more fitness classes and may also choose one of the trainers as their personal trainer. Each fitness class is attended by one or more members and instructed by only one trainer. Not all trainers deliver fitness classes. After receiving the approval from an administrator, a member may choose to add multiple associate members who will have partial access to the services provided by the fitness centre, and an associate number (i.e., 1, 2, . . .) and the name of each associate member are recorded in the database. The database keeps track of equipment available in the fitness centre. Each piece of equipment has a unique ID and must have one of the following three status types: new, working or broken. Each technician has a mobile phone number. Technicians maintain equipment in the fitness centre and the database records the date of each maintenance event. Each piece of equipment should be maintained at least twice a year. Each trainer has one or more specialities, e.g., weight gain, weight loss, strength building, etc. What is the best way to model the ""speciality""of ""trainer""?",choice,"Model ""trainer"" as an entity and model ""speciality"" as a multi-valued attribute",nan,2,nan,Q4-16
107,102,"Consider a database that stores names, addresses and unique IDs of employees in a fitness centre. The employees are classified into three categories: trainers, administrators and technicians. Each trainer has one or more specialities, e.g., weight gain, weight loss, strength building, etc. An administrator can register new members and be reached through a landline phone number. Each member is identified by an email address. The fitness centre organises fitness classes for members. Each class has a name, a start date, an end date, and a daily time slot. No two fitness classes have the same daily time slot, and for each fitness class the start date must be before the end date. A member may choose to participate in one or more fitness classes and may also choose one of the trainers as their personal trainer. Each fitness class is attended by one or more members and instructed by only one trainer. Not all trainers deliver fitness classes. After receiving the approval from an administrator, a member may choose to add multiple associate members who will have partial access to the services provided by the fitness centre, and an associate number (i.e., 1, 2, . . .) and the name of each associate member are recorded in the database. The database keeps track of equipment available in the fitness centre. Each piece of equipment has a unique ID and must have one of the following three status types: new, working or broken. Each technician has a mobile phone number. Technicians maintain equipment in the fitness centre and the database records the date of each maintenance event. Each piece of equipment should be maintained at least twice a year. If we model ""administrator"" as an entity type, which of the following is its key attribute?",choice,ID,nan,1,Key attribute: refers to an attribute that uniquely defines an entity in an entity set.,Q4-17
108,103,"Consider a database that stores names, addresses and unique IDs of employees in a fitness centre. The employees are classified into three categories: trainers, administrators and technicians. Each trainer has one or more specialities, e.g., weight gain, weight loss, strength building, etc. An administrator can register new members and be reached through a landline phone number. Each member is identified by an email address. The fitness centre organises fitness classes for members. Each class has a name, a start date, an end date, and a daily time slot. No two fitness classes have the same daily time slot, and for each fitness class the start date must be before the end date. A member may choose to participate in one or more fitness classes and may also choose one of the trainers as their personal trainer. Each fitness class is attended by one or more members and instructed by only one trainer. Not all trainers deliver fitness classes. After receiving the approval from an administrator, a member may choose to add multiple associate members who will have partial access to the services provided by the fitness centre, and an associate number (i.e., 1, 2, . . .) and the name of each associate member are recorded in the database. The database keeps track of equipment available in the fitness centre. Each piece of equipment has a unique ID and must have one of the following three status types: new, working or broken. Each technician has a mobile phone number. Technicians maintain equipment in the fitness centre and the database records the date of each maintenance event. Each piece of equipment should be maintained at least twice a year. Which of the following statements can be modelled by the ER diagram?",choice,Each fitness class is instructed by only one trainer and not all trainers deliver fitness classes.,nan,2,nan,Q4-18
109,104,Which of the following is a trival FD?,choice,XYZ→Z,nan,1,"Trivial − If a functional dependency (FD) X → Y holds, where Y is a subset of X, then it is called a trivial FD. Trivial FDs always hold.",Q5-1
110,105,"R={A,B,C,D} and Σ={A→ B, B→ C, D→ABC}. The closure of A is",choice,ABC,nan,1,"The closure of A, is the set of all attributes that are dependent on A.",Q5-2
111,106,"R={A,B,C,D} and Σ={A→ B, B→ C, D→ABC}. Is the following statement true or false? A is a SK of R",choice,False,nan,1,A subset of the attributes of a relation schema R is a superkey if it uniquely determines all attributes of R.,Q5-3
112,107,"R={A,B,C,D} and Σ={A→ B, B→ C, D→ABC}. Is the following statement true or false? Σ ⊨ A→ C",choice,True,nan,1,nan,Q5-4
113,108,"R={A,B,C,D} and Σ={A→ B, B→ C, D→ABC}. The closure of D is",choice,ABCD,nan,1,"The closure of D, is the set of all attributes that are dependent on D.",Q5-5
114,109,"R={A,B,C,D} and Σ={A→ B, B→ C, D→ABC}. Is the following statement true or false? D is a SK of R",choice,True,nan,1,A subset of the attributes of a relation schema R is a superkey if it uniquely determines all attributes of R.,Q5-6
115,110,"R={A,B,C,D} and Σ={A→ B, B→ C, D→ABC}. Is the following statement true or false? Σ ⊨ D→ AC",choice,True,nan,1,nan,Q5-7
116,111,"R={A,B,C}, Σ1={A→ B, B→ C} and Σ2={A→ C, B→ C}. Is the following statement true or false? Σ1 and Σ2 are equivalent",choice,False,nan,2,nan,Q5-8
117,112,"R={A,B,C}, Σ1={A→ B, B→ C} and Σ2={A→ C, B→ C}. Is the following statement true or false? Σ1 ⊨ Σ2",choice,True,nan,2,nan,Q5-9
118,113,"R={A,B,C}, Σ1={A→ B, B→ C} and Σ2={A→ C, B→ C}. Is the following statement true or false? Σ2 ⊨ Σ1",choice,False,nan,2,nan,Q5-10
119,114,"R={A,B,C}, Σ1={A→ B, AB→ C} and Σ2={A→ B, B→ C}. Is the following statement true or false? Σ1 and Σ2 are equivalent",choice,False,nan,2,nan,Q5-11
120,115,"R={A,B,C}, Σ1={A→ B, AB→ C} and Σ2={A→ B, A→ C}. Is the following statement true or false? Σ1 and Σ2 are equivalent",choice,True,nan,2,nan,Q5-12
121,116,"R={A,B,C}, Σ1={A→ B, AB→ C} and Σ2={A→ B, B→ C}. Is the following statement true or false? Σ2 is a minimal cover of Σ1",choice,False,nan,2,A minimal cover of a set of FDs F is a minimal set of functional dependencies that is equivalent to F.,Q5-13
122,117,"R={A,B,C}, Σ1={A→ B, AB→ C} and Σ2={A→ B, A→ C}. Is the following statement true or false? Σ2 is a minimal cover of Σ1",choice,True,nan,2,nan,Q5-14
123,118,"R={A,B,C}, Σ={A→ B, AB→ C}. Is the following statement true or false? A is a CK of R",choice,True,nan,2,A minimal superkey is called a candidate key.,Q5-15
124,119,"R={A,B,C}, Σ={A→ B, AB→ C}. Is the following statement true or false? AB is a CK of R",choice,False,nan,2,A minimal superkey is called a candidate key.,Q5-16
125,120,"R={A,B,C}, Σ={A→ B, AB→ C}. Is the following statement true or false? A is the only CK of R",choice,True,nan,2,nan,Q5-17
126,121,"R={A,B,C}, Σ={A→ B, B→ C, C→A}. Is the following statement true or false? A is the only CK of R",choice,False,nan,2,nan,Q5-18
127,122,"R={A,B,C}, Σ={A→ B, B→ C, C→A}. Is the following statement true or false? A, B and C are all prime attributes.",choice,True,nan,2,A prime attribute is an attribute occurring in a candidate key.,Q5-19
128,123,"R={A,B,C, D}, Σ={A→ B, B→ AD, CD→AB}. Is the following statement true or false? C must be part of each CK of R.",choice,True,nan,3,nan,Q5-20
129,124,"R={A,B,C, D}, Σ={A→BCD, CD→AB}. Is the following statement true or false? A is the only CK of R.",choice,False,nan,3,nan,Q5-21
130,125,"R={A, B, C} and Σ = {A→B, B→C}. The decomposition of R into R1 = {A, B} and R2 = {B, C}",choice,Fulfils both lossless join and dependency preserving properties.,nan,1,"Lossless join – “ capture the same data ” To disallow the possibility of generating spurious tuples when a NATURAL JOIN operation is applied to the relations after decomposition.

 Dependency preservation – “ capture the same meta-data ” To ensure that each functional dependency can be inferred from functional dependencies after decomposition.",Q6-1
131,126,"R={A, B, C} and Σ = {A→B, B→C, A→C}. The decomposition of R into R1 = {A, B} and R2 = {A, C}",choice,Fulfils the lossless join property but does not fulfil the dependency preserving property.,nan,1,nan,Q6-2
132,127,"R={A, B, C} and Σ = {A→B, B→C, A→C}. The decomposition of R into R1 = {A, B} and R2 = {B, C}",choice,Fulfils both lossless join and dependency preserving properties.,nan,1,nan,Q6-3
133,128,Which of the following is correct?,choice,"A relation schema R is in BCNF if whenever a non-trivial FD X→ A holds in R, then X is a superkey.",nan,1,nan,Q6-4
134,129,"R={A, B, C} and Σ = {A→BC}. Which of the following is correct?",choice,R is in 3NF and R is in BCNF.,nan,1,"A relation schema R is in BCNF if whenever a non-trivial FD X → A holds in R, then X is a superkey.

A relation schema R is in 3NF if whenever a non-trivial FD X → A holds in R, then X is a superkey or A is a prime attribute.",Q6-5
135,130,"R={A,B,C}, Σ={A→ BC, BC→ A}. Which of the following is correct?",choice,R is in 3NF and R is in BCNF.,nan,2,"A relation schema R is in BCNF if whenever a non-trivial FD X → A holds in R, then X is a superkey.

A relation schema R is in 3NF if whenever a non-trivial FD X → A holds in R, then X is a superkey or A is a prime attribute.",Q6-6
136,131,"R={A,B,C}, Σ={A→ B, B→ C}. Which of the following is correct?",choice,R is not in 3NF and R is not in BCNF.,nan,2,nan,Q6-7
137,132,"R={A,B,C,D}, Σ={AB→ CD, BC→ A}. Which of the following is correct?",choice,R is in 3NF and R is in BCNF.,nan,3,"A relation schema R is in BCNF if whenever a non-trivial FD X →A holds in R, then X is a superkey.

A relation schema R is in 3NF if whenever a non-trivial FD X → A holds in R, then X is a superkey or A is a prime attribute.",Q6-8
138,133,"R={A,B,C,D}, Σ={AB→ CD, C→ A}. Which of the following is correct?",choice,R is in 3NF and R is not in BCNF.,nan,3,nan,Q6-9
139,134,Which of the following is correct about BCNF?,choice,BCNF eliminates redundancy. ,nan,1,"A relation schema R is in BCNF if whenever a non-trivial FD X → A holds in R, then X is a superkey.",Q6-10
140,135,Which of the following is correct about 3NF?,choice,3NF can only minimise (not necessarily eliminate) redundancy.,nan,1,"A relation schema R is in 3NF if whenever a non-trivial FD X → A holds in R, then X is a superkey or A is a prime attribute.",Q6-11
141,136,Which of the following is correct?,choice,"If R is in BCNF, then R must be in 3NF.",nan,1,"A relation schema R is in BCNF if whenever a non-trivial FD X →A holds in R, then X is a superkey.
A relation schema R is in 3NF if whenever a non-trivial FD X → A holds in R, then X is a superkey or A is a prime attribute.",Q6-12
142,137,Which of the following is correct?,choice,3NF decomposition is always a dependency-preserving decomposition.,nan,2,3NF is a less restrictive normal form such that a lossless and dependency preserving decomposition can always be found.,Q6-13
143,138,Which of the following is correct?,choice,There exists an algorithm that can always generate a lossless and dependency-preserving decomposition into 3NF.,nan,2,3NF is a less restrictive normal form such that a lossless and dependency preserving decomposition can always be found.,Q6-14
146,139,How many rows will be in the result for the following relational algebra expression?,choice,4,"<center><table style=""padding: 8px;text-align: center;"" border=""1"">
  <tr>
    <th>StudentID</th>
    <th>Name</th>
  </tr>
  <tr>
    <td>100</td>
    <td>Tom</td>
  </tr>
  <tr>
    <td>101</td>
    <td>Tom</td>
  </tr>
 <tr>
    <td>102</td>
    <td>Peter</td>
  </tr>
<tr>
    <td>103</td>
    <td>Fran</td>
  </tr>
</table></center>",1,"Projection(π) only keeps a number of specified attributes (columns) from a relation R, while the other attributes are discarded.",Q7-1
147,140,How many rows will be in the result for the following relational algebra expression?,choice,2,nan,1,Selection (σ) chooses tuples that satisfy the condition  φ from a relation R,Q7-2
148,141,How many rows will be in the result for the following relational algebra expression?,choice,3,"<center><table style=""padding: 8px;text-align: center;"" border=""1"">
  <tr>
    <th>CourseNo</th>
  </tr>
  <tr>
    <td>COMP2400</td>
  </tr>
  <tr>
    <td>STAT2001</td>
  </tr>
 <tr>
    <td>BUSN2011</td>
  </tr>
</table></center>",1,nan,Q7-3
149,142,How many rows will be in the result for the following relational algebra expression?,choice,3,nan,1,"Selection chooses rows and Projection chooses columns. Union, denoted as R1 ∪ R2, results in a relation that includes all tuples either in R1 or in R2. Duplicate tuples are eliminated.",Q7-4
150,143,How many rows will be in the result for the following relational algebra expression?,choice,4,nan,1,nan,Q7-5
151,144,How many rows will be in the result for the following relational algebra expression?,choice,1,nan,1,nan,Q7-6
152,145,How many rows will be in the result for the following relational algebra expression?,choice,2,nan,2,nan,Q7-7
153,146,How many rows will be in the result for the following relational algebra expression?,choice,28,nan,1,Cartesian product R1 × R2 combines tuples from two relations in a combinatorial fashion.,Q7-8
154,147,How many rows will be in the result for the following relational algebra expression?,choice,12,nan,1,Projection chooses columns. Cartesian product R1 × R2 combines tuples from two relations in a combinatorial fashion.,Q7-9
155,148,How many rows will be in the result for the following relational algebra expression?,choice,7,nan,1,Join R1 ⋈ R2 is introduced as the combination of Cartesian product and selection.,Q7-10
156,149,How many rows will be in the result for the following relational algebra expression?,choice,7,nan,1,nan,Q7-11
157,150,How many rows will be in the result for the following relational algebra expression?,choice,4,nan,2,Join R1 ⋈ R2 is introduced as the combination of Cartesian product and selection.,Q7-12
158,151,How many rows will be in the result for the following relational algebra expression?,choice,3,nan,2,Join R1 ⋈ R2 is introduced as the combination of Cartesian product and selection.,Q7-13
159,152,How many rows will be in the result for the following relational algebra expression?,choice,21,nan,3,nan,Q7-14
160,153,How many rows will be in the result for the following relational algebra expression?,choice,16,nan,2,nan,Q7-15
161,154,How many rows will be in the result for the following relational algebra expression?,choice,17,nan,2,nan,Q7-16
162,155,How many rows will be in the result for the following relational algebra expression?,choice,4,nan,3,nan,Q7-17
163,156,"Consider the following database schema: Movie(title, production year, country, run time, major genre) primary key : {title, production year} Person(id, first name, last name, year born) primary key : {id} Director(id, title, production year) primary key : {title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Writer(id, title, production year, credits) primary key : {id, title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Are the following two RA expressions equivalent?",choice,Yes,nan,1,nan,Q8-1
164,157,"Consider the following database schema: Movie(title, production year, country, run time, major genre) primary key : {title, production year} Person(id, first name, last name, year born) primary key : {id} Director(id, title, production year) primary key : {title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Writer(id, title, production year, credits) primary key : {id, title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Are the following two RA expressions equivalent?",choice,No,nan,1,Consider what attributes are needed for the natural join between Movie and Writer.,Q8-2
165,158,"Consider the following database schema: Movie(title, production year, country, run time, major genre) primary key : {title, production year} Person(id, first name, last name, year born) primary key : {id} Director(id, title, production year) primary key : {title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Writer(id, title, production year, credits) primary key : {id, title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Are the following two RA expressions equivalent?",choice,No,nan,1,nan,Q8-3
166,159,"Consider the following database schema: Movie(title, production year, country, run time, major genre) primary key : {title, production year} Person(id, first name, last name, year born) primary key : {id} Director(id, title, production year) primary key : {title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Writer(id, title, production year, credits) primary key : {id, title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Are the following two RA expressions equivalent?",choice,No,nan,2,Consider what attributes are needed for the natural join between Person and Director.,Q8-4
167,160,"Consider the following database schema: Movie(title, production year, country, run time, major genre) primary key : {title, production year} Person(id, first name, last name, year born) primary key : {id} Director(id, title, production year) primary key : {title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Writer(id, title, production year, credits) primary key : {id, title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Are the following two RA expressions equivalent?",choice,Yes,nan,2,nan,Q8-5
168,161,"Consider the following database schema: Movie(title, production year, country, run time, major genre) primary key : {title, production year} Person(id, first name, last name, year born) primary key : {id} Director(id, title, production year) primary key : {title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Writer(id, title, production year, credits) primary key : {id, title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Which of the following RAs will output the first and last names of the directors who have directed movies produced in USA? A: B:",choice,both A and B,nan,3,Consider the order of natural joins.,Q8-6
169,162,"Consider the following database schema: Movie(title, production year, country, run time, major genre) primary key : {title, production year} Person(id, first name, last name, year born) primary key : {id} Director(id, title, production year) primary key : {title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Writer(id, title, production year, credits) primary key : {id, title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Which of the following RAs will output the first and last names of the writers who were born in 1970 and have written movies produced in 2010? A: B:",choice,both A and B,nan,2,nan,Q8-7
170,163,"Consider the following database schema: Movie(title, production year, country, run time, major genre) primary key : {title, production year} Person(id, first name, last name, year born) primary key : {id} Director(id, title, production year) primary key : {title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Writer(id, title, production year, credits) primary key : {id, title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Which of the following RAs will output the first and last names of the directors who have never written any movies? A: B:",choice,neither A nor B,nan,3,"Different persons may have the same first and last names. Consider one director named John Smith (id=001) has never written any movies, but there is also one writer named John Smith (id = 002).",Q8-8
171,164,"Consider the following database schema: Movie(title, production year, country, run time, major genre) primary key : {title, production year} Person(id, first name, last name, year born) primary key : {id} Director(id, title, production year) primary key : {title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Writer(id, title, production year, credits) primary key : {id, title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Which of the following RAs will output the first and last names of the directors who have never written any movies? A: B:",choice,only B,nan,2,nan,Q8-9
172,165,"Consider the following database schema: Movie(title, production year, country, run time, major genre) primary key : {title, production year} Person(id, first name, last name, year born) primary key : {id} Director(id, title, production year) primary key : {title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Writer(id, title, production year, credits) primary key : {id, title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Which of the following RAs will output the ids of the writers who have written movies produced in year 2000 but not in year 2010? A: B:",choice,neither A nor B,nan,3,nan,Q8-10
173,166,"Consider the following database schema: Movie(title, production year, country, run time, major genre) primary key : {title, production year} Person(id, first name, last name, year born) primary key : {id} Director(id, title, production year) primary key : {title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Writer(id, title, production year, credits) primary key : {id, title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Which of the following RAs will give you the ids of the directors who have directed both comedy movies and action movies? A: B:",choice,only B,nan,3,nan,Q8-11
174,167,"Consider the following database schema: Movie(title, production year, country, run time, major genre) primary key : {title, production year} Person(id, first name, last name, year born) primary key : {id} Director(id, title, production year) primary key : {title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Writer(id, title, production year, credits) primary key : {id, title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Which of the following RAs will give you the ids of the directors who have directed both comedy movies and action movies? A: B:",choice,neither A nor B,nan,3,nan,Q8-12
175,168,"Consider the following database schema: Movie(title, production year, country, run time, major genre) primary key : {title, production year} Person(id, first name, last name, year born) primary key : {id} Director(id, title, production year) primary key : {title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Writer(id, title, production year, credits) primary key : {id, title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Which of the following RAs will output the ids of the directors who have directed any comedy or action movies? A: B:",choice,both A and B,nan,3,nan,Q8-13
176,169,"Consider the following database schema: Movie(title, production year, country, run time, major genre) primary key : {title, production year} Person(id, first name, last name, year born) primary key : {id} Director(id, title, production year) primary key : {title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Writer(id, title, production year, credits) primary key : {id, title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Which of the following RAs output the ids of the directors who have directed any comedy or action movies? A: B:",choice,both A and B,nan,3,nan,Q8-14
177,170,"Consider the following database schema: Movie(title, production year, country, run time, major genre) primary key : {title, production year} Person(id, first name, last name, year born) primary key : {id} Director(id, title, production year) primary key : {title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Writer(id, title, production year, credits) primary key : {id, title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Which of the following RAs output the titles and production years of the movies which were written by writers born after 1980? A: 1980}(Person)))) }"" border=""0""/> B: 1980}(Person))) }"" border=""0""/>",choice,both A and B,nan,3,nan,Q8-15
178,171,"Consider the following database schema: Movie(title, production year, country, run time, major genre) primary key : {title, production year} Person(id, first name, last name, year born) primary key : {id} Director(id, title, production year) primary key : {title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Writer(id, title, production year, credits) primary key : {id, title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Which of the following RAs output the titles and production years of the movies which were written by writers born after 1980? A: 1980}(Person))) }"" border=""0""/> B: 1980}(Person))) }"" border=""0""/>",choice,only A,nan,3,nan,Q8-16
179,172,"In SQL, which of the following cannot be granted privileges using the GRANT command?",choice,A specified tuple,nan,1,nan,Q9-1
180,173,Which technology is not used to enforce confidentiality of database security?,choice,Auditing,nan,1,nan,Q9-2
181,174,"If we wish to grant a privilege to a user and also allow the user to pass the privilege on to other users, which of the following should we append to the appropriate grant command?",choice,With grant option,nan,1,nan,Q9-3
182,175,Which of the following is a characteristic of Mandatory Access Control (MAC)?,choice,Use different levels of security to classify users and data.,nan,1,nan,Q9-4
183,176,Which of the following statements are not correct?,choice,SQL injection can be prevented by removing the privileges of a user who connects to the database,nan,2,nan,Q9-5
184,177,Which of the following is used to avoid cascading of revoking privileges?,choice,REVOKE select ON salary FROM Tom restrict;,nan,1,nan,Q9-6
185,178,Which of the following is true regarding views?,choice,A user who creates a view does not necessarily receive all privileges on that view.,nan,3,nan,Q9-7
186,179,"For Discretionary Access Control (DAC), which of the following statements is true?",choice,Each object has an owner who has full control on managing the privileges to the object.,nan,2,nan,Q9-8
187,180,Which of the following is an inherent flaw in Discretionary Access Control (DAC)?,choice,"DAC relies only on the identity of a user, leaving room for Trojan Horse attacks.",nan,2,nan,Q9-9
188,181,Which of the following are used to make access decisions in Mandatory Access Control (MAC)?,choice,User security clearance and Data classification,nan,1,nan,Q9-10
189,182,Which of the following can potentially cause a SQL injection attack?,choice,"var City; City = Request.form (""City""); var SQL = ""select * from OrdersTable where City = '"" + City + ""'"";",nan,3,nan,Q9-11
190,183,"You work as a database administrator at ToyWorld. They manage database security using a Role Based Access Control (RBAC) model. There are three types of resources, including files, printers, and mailboxes, and four departments with distinct functions: Sales, Marketing, Management, and Production in ToyWorld. Each department needs access to different resources. Each user has a workstation. Which roles should you create to support this RBAC model?",choice,"Sales, marketing, management, and production roles.",nan,1,nan,Q9-12
191,184,What is an authentication method?,choice,A method of restricting user access to a database system,nan,1,nan,Q9-13
192,185,"Assuming that Linda is the owner of the relation Event, after completing the following three actions, which of the following statements is correct? Step | By | Action 1 | Linda| GRANT select TO Amy ON Event WITH GRANT OPTION; 2 |Amy| GRANT select TO Peter ON Event; 3 |Linda| REVOKE GRANT OPTION FOR select ON Event FROM Amy CASCADE;",choice,"Amy has the select privilege on Event, but Peter does not have this privilege",nan,3,nan,Q9-14
